County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Thurston County, WA",21-22,67,53,505,343.0,47.23032069970845,162.0,183.0,82.78145695364239,119.0,88.83632923368022,429.0,17.715617715617714,76.0,204.0,81.13382899628253,250.0,76.85873605947955,367.0,37.60217983651226,138.0,87.0,92.21014492753623,108.0,90.30797101449275
"Tippecanoe County, IN",21-22,157,18,881,1039.0,-15.206929740134745,-158.0,913.0,13.718070009460737,844.0,20.245979186376537,1073.0,-17.893755824790304,-192.0,855.0,20.63197026022305,777.0,27.881040892193308,1016.0,-13.287401574803148,-135.0,732.0,33.78623188405797,545.0,50.72463768115942
"Todd County, MN",21-22,153,27,261,292.0,-10.616438356164382,-31.0,762.0,28.00378429517502,774.0,26.868495742667932,301.0,-13.289036544850497,-40.0,682.0,36.71003717472119,712.0,33.92193308550186,237.0,10.126582278481022,24.0,227.0,79.52898550724638,241.0,78.26086956521739
"Todd County, SD",21-22,121,46,43,54.0,-20.370370370370374,-11.0,655.0,38.12677388836329,896.0,15.32639545884579,39.0,10.256410256410264,4.0,422.0,60.87360594795539,317.0,70.63197026022306,,,,,,,
"Tom Green County, TX",21-22,451,48,103,124.0,-16.935483870967737,-21.0,717.0,32.26111636707663,857.0,19.01608325449385,132.0,-21.969696969696972,-29.0,657.0,39.03345724907063,826.0,23.3271375464684,102.0,0.9803921568627416,1.0,337.0,69.56521739130434,330.0,70.19927536231883
"Tooele County, UT",21-22,45,49,104,119.0,-12.605042016806722,-15.0,685.0,35.28855250709555,810.0,23.462630085146643,147.0,-29.25170068027211,-43.0,691.0,35.87360594795539,897.0,16.728624535315987,172.0,-39.53488372093024,-68.0,621.0,43.84057971014493,893.0,19.202898550724637
"Travis County, TX",21-22,453,48,2116,2230.0,-5.112107623318385,-114.0,878.0,17.029328287606432,673.0,36.423841059602644,2196.0,-3.642987249544627,-80.0,769.0,28.624535315985128,543.0,49.628252788104085,2231.0,-5.154639175257736,-115.0,711.0,35.688405797101446,409.0,63.04347826086957
"Trempealeau County, WI",21-22,121,55,242,243.0,-0.4115226337448541,-1.0,570.0,46.16840113528855,578.0,45.411542100283825,212.0,14.150943396226424,30.0,290.0,73.14126394052045,274.0,74.62825278810409,176.0,37.5,66.0,137.0,87.68115942028986,109.0,90.21739130434783
"Trumbull County, OH",21-22,155,39,910,951.0,-4.311251314405884,-41.0,801.0,24.314096499526965,653.0,38.31598864711447,1298.0,-29.89214175654854,-388.0,929.0,13.754646840148698,901.0,16.356877323420075,1283.0,-29.07248636009353,-373.0,865.0,21.73913043478261,769.0,30.434782608695656
"Tulare County, CA",21-22,107,6,373,568.0,-34.33098591549296,-195.0,929.0,12.204351939451277,983.0,7.095553453169347,376.0,-0.7978723404255317,-3.0,496.0,53.99628252788104,485.0,55.01858736059479,625.0,-40.32,-252.0,810.0,26.721014492753625,905.0,18.115942028985508
"Tulsa County, OK",21-22,143,40,3463,3469.0,-0.1729605073508167,-6.0,618.0,41.62724692526017,574.0,45.789971617786186,3863.0,-10.354646647683152,-400.0,934.0,13.289962825278812,675.0,37.36059479553903,4374.0,-20.82761774119799,-911.0,978.0,11.503623188405797,654.0,40.85144927536232
"Tuscaloosa County, AL",21-22,125,1,427,739.0,-42.2192151556157,-312.0,954.0,9.839167455061496,1013.0,4.257332071901608,558.0,-23.476702508960578,-131.0,821.0,23.79182156133829,847.0,21.37546468401487,245.0,74.28571428571429,182.0,66.0,94.11231884057972,44.0,96.10507246376811
"Tuscarawas County, OH",21-22,157,39,470,251.0,87.25099601593624,219.0,151.0,85.80889309366131,49.0,95.45884578997162,349.0,34.67048710601719,121.0,167.0,84.5724907063197,151.0,86.05947955390334,490.0,-4.081632653061229,-20.0,439.0,60.32608695652174,396.0,64.22101449275362
"Twin Falls County, ID",21-22,83,16,164,149.0,10.067114093959727,15.0,418.0,60.54872280037843,366.0,65.46830652790918,124.0,32.258064516129025,40.0,263.0,75.65055762081785,159.0,85.31598513011153,158.0,3.797468354430378,6.0,306.0,72.37318840579711,295.0,73.36956521739131
"Ulster County, NY",21-22,111,36,211,206.0,2.4271844660194164,5.0,505.0,52.317880794701985,505.0,52.317880794701985,469.0,-55.010660980810236,-258.0,894.0,17.007434944237918,1037.0,3.717472118959108,686.0,-69.24198250728864,-475.0,903.0,18.297101449275363,1090.0,1.358695652173913
"Union County, IA",21-22,175,19,171,188.0,-9.042553191489366,-17.0,696.0,34.24787133396405,749.0,29.23368022705771,150.0,13.99999999999999,21.0,325.0,69.88847583643123,277.0,74.34944237918215,185.0,-7.567567567567568,-14.0,415.0,62.5,445.0,59.78260869565217
"Union County, NJ",21-22,39,34,3343,4323.0,-22.669442516770765,-980.0,1030.0,2.6490066225165565,915.0,13.528855250709556,5257.0,-36.40859805972988,-1914.0,1050.0,2.509293680297398,950.0,11.802973977695167,6685.0,-49.992520568436795,-3342.0,1069.0,3.260869565217391,994.0,10.054347826086957
"Uvalde County, TX",21-22,463,48,55,,,,,,,,79.0,-30.379746835443033,-24.0,638.0,40.79925650557621,908.0,15.706319702602231,122.0,-54.91803278688525,-67.0,618.0,44.11231884057971,1031.0,6.702898550724639
"Val Verde County, TX",21-22,465,48,145,,,,,,,,271.0,-46.49446494464945,-126.0,819.0,23.977695167286246,1012.0,6.04089219330855,205.0,-29.268292682926834,-60.0,590.0,46.64855072463768,772.0,30.16304347826087
