Diocese,School Year,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Las Vegas, NV",21-22,3976,3500,13.59999999999999,476,61.0,65.71428571428571,52.0,70.85714285714285,3067,29.63808281708511,909,16.0,91.42857142857143,14.0,92.57142857142857,3986,-0.25087807325639977,-10,32.0,82.28571428571428,32.0,82.28571428571428
"Lexington, KY",21-22,2958,2544,16.27358490566038,414,65.0,63.42857142857142,43.0,76.0,3509,-15.702479338842979,-551,106.0,40.0,120.0,32.0,3940,-24.923857868020306,-982,80.0,54.85714285714286,108.0,38.857142857142854
"Lincoln, NE",21-22,6910,7819,-11.625527561069193,-909,158.0,10.285714285714285,147.0,16.57142857142857,7019,-1.5529277674882436,-109,79.0,55.42857142857143,78.0,56.00000000000001,8150,-15.214723926380369,-1240,84.0,52.57142857142857,64.0,64.0
"Little Rock, AR",21-22,6285,5297,18.652067207853506,988,34.0,81.14285714285714,36.0,80.0,6044,3.987425545996026,241,45.0,74.85714285714286,54.0,69.71428571428572,7015,-10.406272273699212,-730,69.0,61.142857142857146,54.0,69.71428571428572
"Los Angeles, CA",21-22,57429,56449,1.7360803557193272,980,35.0,80.57142857142857,104.0,41.14285714285714,66847,-14.088889553757088,-9418,174.0,1.1428571428571428,113.0,36.0,75943,-24.378810423607177,-18514,172.0,2.2857142857142856,106.0,40.0
"Louisville, KY",21-22,15369,16266,-5.514570269273333,-897,157.0,10.857142857142858,132.0,25.142857142857146,18110,-15.135284373274438,-2741,154.0,12.571428571428573,117.0,33.714285714285715,19212,-20.00312304809494,-3843,139.0,21.142857142857142,85.0,52.0
"Lubbock, TX",21-22,274,247,10.93117408906883,27,105.0,40.57142857142857,59.0,66.85714285714286,472,-41.94915254237288,-198,87.0,50.857142857142854,172.0,2.2857142857142856,54,407.40740740740745,220,20.0,89.14285714285714,1.0,100.0
"Madison, WI",21-22,5864,5263,11.419342580277414,601,56.0,68.57142857142857,57.0,68.0,5404,8.51221317542561,460,26.0,85.71428571428571,38.0,78.85714285714286,7469,-21.488820457892622,-1605,96.0,45.714285714285715,94.0,46.85714285714286
"Manchester, NH",21-22,4448,5021,-11.412069308902606,-573,144.0,18.285714285714285,146.0,17.142857142857142,5953,-25.28137073744331,-1505,131.0,25.71428571428571,154.0,12.571428571428573,7355,-39.52413324269205,-2907,128.0,27.42857142857143,147.0,16.57142857142857
"Marquette, MI",21-22,1096,1093,0.2744739249771255,3,109.0,38.285714285714285,108.0,38.857142857142854,1057,3.6896877956480667,39,67.0,62.28571428571429,55.0,69.14285714285714,1435,-23.623693379790943,-339,48.0,73.14285714285714,103.0,41.714285714285715
"Memphis, TN",21-22,2204,2782,-20.7764198418404,-578,145.0,17.71428571428571,165.0,6.2857142857142865,4985,-55.787362086258774,-2781,156.0,11.428571428571429,175.0,0.5714285714285714,4766,-53.755770037767526,-2562,119.0,32.57142857142858,172.0,2.2857142857142856
"Metuchen, NJ",21-22,5494,5633,-2.467601633232741,-139,119.0,32.57142857142858,118.0,33.14285714285714,7161,-23.27887166596844,-1667,133.0,24.571428571428573,144.0,18.285714285714285,9552,-42.483249581239534,-4058,142.0,19.428571428571427,154.0,12.571428571428573
