County & State,School Year,County Code,State ANSI Code,Enrollment
"Bibb County, GA",13-14,21,13,1099
"Bibb County, GA",15-16,21,13,1025
"Bibb County, GA",17-18,21,13,1019
"Bibb County, GA",19-20,21,13,903
"Bibb County, GA",21-22,21,13,838
"Big Horn County, MT",11-12,3,30,256
"Big Horn County, MT",13-14,3,30,126
"Big Horn County, MT",15-16,3,30,264
"Big Horn County, MT",17-18,3,30,126
"Big Horn County, MT",19-20,3,30,113
"Big Horn County, MT",21-22,3,30,235
"Black Hawk County, IA",11-12,13,19,1691
"Black Hawk County, IA",13-14,13,19,1930
"Black Hawk County, IA",15-16,13,19,1357
"Black Hawk County, IA",17-18,13,19,2293
"Black Hawk County, IA",19-20,13,19,2031
"Black Hawk County, IA",21-22,13,19,889
"Blaine County, MT",11-12,5,30,99
"Blaine County, MT",13-14,5,30,80
"Blaine County, MT",15-16,5,30,75
"Blaine County, MT",17-18,5,30,83
"Blaine County, MT",19-20,5,30,53
"Blaine County, MT",21-22,5,30,7
"Blair County, PA",11-12,13,42,1251
"Blair County, PA",13-14,13,42,1204
"Blair County, PA",15-16,13,42,835
"Blair County, PA",17-18,13,42,891
"Blair County, PA",19-20,13,42,965
"Blair County, PA",21-22,13,42,857
"Blue Earth County, MN",11-12,13,27,860
"Blue Earth County, MN",13-14,13,27,1482
"Blue Earth County, MN",15-16,13,27,752
"Blue Earth County, MN",17-18,13,27,818
"Blue Earth County, MN",19-20,13,27,969
"Blue Earth County, MN",21-22,13,27,541
"Bonneville County, ID",11-12,19,16,124
"Bonneville County, ID",13-14,19,16,126
"Bonneville County, ID",15-16,19,16,145
"Bonneville County, ID",17-18,19,16,160
"Bonneville County, ID",19-20,19,16,180
"Bonneville County, ID",21-22,19,16,163
"Boone County, IA",11-12,15,19,173
"Boone County, IA",13-14,15,19,181
"Boone County, IA",15-16,15,19,181
"Boone County, IA",17-18,15,19,176
"Boone County, IA",19-20,15,19,145
"Boone County, IA",21-22,15,19,89
"Boone County, IL",11-12,7,17,173
"Boone County, IL",13-14,7,17,150
"Boone County, IL",15-16,7,17,116
"Boone County, IL",17-18,7,17,121
"Boone County, IL",19-20,7,17,112
"Boone County, KY",11-12,15,21,2059
"Boone County, KY",13-14,15,21,1946
"Boone County, KY",15-16,15,21,1685
"Boone County, KY",17-18,15,21,1295
"Boone County, KY",19-20,15,21,1333
"Boone County, KY",21-22,15,21,1222
"Boone County, MO",11-12,19,29,588
"Boone County, MO",13-14,19,29,815
"Boone County, MO",15-16,19,29,918
"Boone County, MO",17-18,19,29,928
"Boone County, MO",19-20,19,29,870
"Boone County, MO",21-22,19,29,625
"Boone County, NE",11-12,11,31,97
"Boone County, NE",13-14,11,31,101
"Boone County, NE",15-16,11,31,134
"Boone County, NE",17-18,11,31,115
"Boone County, NE",21-22,11,31,116
"Bossier Parish, LA",13-14,15,22,52
"Boulder County, CO",11-12,13,8,935
"Boulder County, CO",13-14,13,8,838
"Boulder County, CO",15-16,13,8,726
"Boulder County, CO",17-18,13,8,647
"Boulder County, CO",19-20,13,8,654
"Boulder County, CO",21-22,13,8,581
"Bourbon County, KS",17-18,11,20,55
"Bourbon County, KS",19-20,11,20,67
"Bourbon County, KS",21-22,11,20,59
"Bourbon County, KY",11-12,17,21,76
"Bourbon County, KY",13-14,17,21,76
"Bourbon County, KY",15-16,17,21,80
"Bourbon County, KY",17-18,17,21,67
"Bourbon County, KY",19-20,17,21,52
"Bourbon County, KY",21-22,17,21,67
"Box Butte County, NE",11-12,13,31,147
"Box Butte County, NE",13-14,13,31,146
"Box Butte County, NE",15-16,13,31,146
"Box Butte County, NE",17-18,13,31,148
"Box Butte County, NE",19-20,13,31,146
"Box Butte County, NE",21-22,13,31,131
"Boyd County, KY",11-12,19,21,146
"Boyd County, KY",13-14,19,21,135
"Boyd County, KY",15-16,19,21,166
"Boyd County, KY",17-18,19,21,150
