Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Fairbanks, AK",21-22,686,372,1.8440860215053763,314,80.0,54.85714285714286,3.0,98.85714285714286,420,1.6333333333333333,266,41.0,77.14285714285715,5.0,97.71428571428571,491,1.3971486761710794,195,21.0,88.57142857142857,9.0,95.42857142857143
"Fall River, MA",21-22,5132,4751,1.0801936434434856,381,67.0,62.28571428571429,72.0,59.42857142857143,5140,0.998443579766537,-8,69.0,61.142857142857146,69.0,61.142857142857146,6582,0.7797022181707688,-1450,93.0,47.42857142857143,97.0,45.14285714285714
"Fargo, ND",21-22,2649,2808,0.9433760683760684,-159,120.0,32.0,133.0,24.571428571428573,1573,1.684043229497775,1076,12.0,93.71428571428572,3.0,98.85714285714286,1794,1.4765886287625418,855,7.0,96.57142857142857,5.0,97.71428571428571
"Fresno, CA",21-22,3377,4045,0.8348578491965389,-668,149.0,15.428571428571427,156.0,11.428571428571429,4858,0.6951420337587485,-1481,129.0,26.857142857142858,164.0,6.857142857142858,6132,0.5507175472928898,-2755,123.0,30.28571428571429,159.0,9.714285714285714
"Ft. Wayne-South Bend, IN",21-22,12073,12058,1.0012439873942611,15,108.0,38.857142857142854,109.0,38.285714285714285,13572,0.8895520188623637,-1499,130.0,26.285714285714285,105.0,40.57142857142857,13680,0.8825292397660819,-1607,97.0,45.14285714285714,60.0,66.28571428571428
"Ft. Worth, TX",21-22,3699,3777,0.9793486894360603,-78,116.0,34.285714285714285,115.0,34.85714285714286,4338,0.8526970954356846,-639,113.0,36.0,116.0,34.285714285714285,5776,0.6404085872576177,-2077,108.0,38.857142857142854,138.0,21.714285714285715
"Gallup, NM",21-22,618,552,1.1195652173913044,66,100.0,43.42857142857143,55.0,69.14285714285714,794,0.7783375314861462,-176,85.0,52.0,140.0,20.57142857142857,1295,0.4772200772200772,-677,66.0,62.857142857142854,171.0,2.857142857142857
"Galveston-Houston, TX",21-22,13623,16582,0.8215534917380292,-2959,174.0,1.1428571428571428,158.0,10.285714285714285,18734,0.7271805273833671,-5111,168.0,4.571428571428571,159.0,9.714285714285714,17888,0.7615720035778175,-4265,146.0,17.142857142857142,105.0,40.57142857142857
"Gary, IN",21-22,5830,4289,1.3592912100722778,1541,18.0,90.28571428571428,11.0,94.28571428571428,4284,1.3608776844070962,1546,7.0,96.57142857142857,9.0,95.42857142857143,6541,0.8913010243082098,-711,68.0,61.71428571428571,58.0,67.42857142857143
"Gaylord, MI",21-22,1678,2327,0.721100128921358,-649,147.0,16.57142857142857,168.0,4.571428571428571,2648,0.6336858006042296,-970,122.0,30.857142857142854,168.0,4.571428571428571,2521,0.6656088853629513,-843,74.0,58.285714285714285,134.0,24.0
